date,league,home,away,home_score,away_score,odds_home,odds_draw,odds_away,odds_over25,odds_btts,odds_timing,source
2024-04-28,Serie A,Inter,Torino,2,0,1.56,3.94,6.38,2.01,,closing,football-data:2324:I1
2024-04-28,Serie A,Napoli,Roma,2,2,1.97,3.58,3.82,1.84,,closing,football-data:2324:I1
2024-04-29,La Liga,Barcelona,Valencia,4,2,1.33,5.59,8.83,1.47,,closing,football-data:2324:SP1
2024-04-29,Serie A,Genoa,Cagliari,3,0,2.2,3.19,3.61,2.22,,closing,football-data:2324:I1
2024-05-02,Premier League,Chelsea,Tottenham,2,0,2.46,4.0,2.6,1.32,,closing,football-data:2324:E0
2024-05-03,Bundesliga,Hoffenheim,RB Leipzig,1,1,5.26,5.14,1.52,1.25,,closing,football-data:2324:D1
2024-05-03,La Liga,Getafe,Ath Bilbao,0,2,3.8,3.16,2.15,2.48,,closing,football-data:2324:SP1
2024-05-03,Ligue 1,Lens,Lorient,2,0,1.44,4.91,6.73,1.56,,closing,football-data:2324:F1
2024-05-03,Ligue 1,Toulouse,Montpellier,1,2,2.02,3.79,3.47,1.59,,closing,football-data:2324:F1
2024-05-03,Premier League,Luton,Everton,1,1,2.77,3.62,2.48,1.69,,closing,football-data:2324:E0
2024-05-03,Serie A,Torino,Bologna,0,0,2.79,2.9,2.91,2.71,,closing,football-data:2324:I1
2024-05-04,Bundesliga,Dortmund,Augsburg,5,1,2.02,4.07,3.29,1.37,,closing,football-data:2324:D1
2024-05-04,Bundesliga,FC Koln,Freiburg,0,0,2.44,3.59,2.81,1.73,,closing,football-data:2324:D1
2024-05-04,Bundesliga,Stuttgart,Bayern Munich,3,1,2.56,3.85,2.54,1.44,,closing,football-data:2324:D1
2024-05-04,Bundesliga,Werder Bremen,M'gladbach,2,2,2.13,3.74,3.22,1.57,,closing,football-data:2324:D1
2024-05-04,Bundesliga,Wolfsburg,Darmstadt,3,0,1.3,5.87,9.54,1.45,,closing,football-data:2324:D1
2024-05-04,La Liga,Girona,Barcelona,4,2,2.83,3.77,2.35,1.47,,closing,football-data:2324:SP1
2024-05-04,La Liga,Mallorca,Ath Madrid,0,1,3.89,3.07,2.16,2.61,,closing,football-data:2324:SP1
2024-05-04,La Liga,Real Madrid,Cadiz,3,0,1.36,4.93,9.46,1.88,,closing,football-data:2324:SP1
2024-05-04,La Liga,Sociedad,Las Palmas,2,0,1.33,5.03,10.64,1.89,,closing,football-data:2324:SP1
2024-05-04,Ligue 1,Brest,Nantes,0,0,1.71,3.68,5.19,2.09,,closing,football-data:2324:F1
2024-05-04,Ligue 1,Le Havre,Strasbourg,3,1,2.57,3.15,2.93,2.27,,closing,football-data:2324:F1
2024-05-04,Ligue 1,Metz,Rennes,2,3,3.76,3.58,1.99,1.87,,closing,football-data:2324:F1
2024-05-04,Ligue 1,Monaco,Clermont,4,1,1.3,6.24,8.2,1.28,,closing,football-data:2324:F1
2024-05-04,Premier League,Arsenal,Bournemouth,3,0,1.22,7.12,12.18,1.33,,closing,football-data:2324:E0
2024-05-04,Premier League,Brentford,Fulham,0,0,2.07,3.82,3.36,1.59,,closing,football-data:2324:E0
2024-05-04,Premier League,Burnley,Newcastle,1,4,3.35,4.08,2.01,1.43,,closing,football-data:2324:E0
2024-05-04,Premier League,Man City,Wolves,5,1,1.1,12.16,23.44,1.26,,closing,football-data:2324:E0
2024-05-04,Premier League,Sheffield United,Nott'm Forest,1,3,4.83,4.2,1.68,1.57,,closing,football-data:2324:E0
2024-05-04,Serie A,Monza,Lazio,2,2,4.47,3.61,1.83,1.92,,closing,football-data:2324:I1
2024-05-04,Serie A,Sassuolo,Inter,1,0,5.99,4.65,1.51,1.53,,closing,football-data:2324:I1
2024-05-05,Bundesliga,Ein Frankfurt,Leverkusen,1,5,2.87,3.51,2.4,1.73,,closing,football-data:2324:D1
2024-05-05,Bundesliga,Heidenheim,Mainz,1,1,2.92,3.48,2.41,1.78,,closing,football-data:2324:D1
2024-05-05,Bundesliga,Union Berlin,Bochum,3,4,1.99,3.51,3.9,1.91,,closing,football-data:2324:D1
2024-05-05,La Liga,Celta,Villarreal,3,2,2.7,3.62,2.51,1.62,,closing,football-data:2324:SP1
2024-05-05,La Liga,Osasuna,Betis,0,2,3.3,3.2,2.33,2.31,,closing,football-data:2324:SP1
2024-05-05,La Liga,Sevilla,Granada,3,0,1.69,3.91,4.96,1.89,,closing,football-data:2324:SP1
2024-05-05,La Liga,Valencia,Alaves,0,1,2.25,3.06,3.66,2.55,,closing,football-data:2324:SP1
2024-05-05,La Liga,Vallecano,Almeria,0,1,1.66,3.89,5.45,1.98,,closing,football-data:2324:SP1
2024-05-05,Premier League,Brighton,Aston Villa,1,0,2.45,3.81,2.7,1.43,,closing,football-data:2324:E0
2024-05-05,Premier League,Chelsea,West Ham,5,0,1.5,5.05,5.71,1.34,,closing,football-data:2324:E0
2024-05-05,Premier League,Liverpool,Tottenham,4,2,1.43,5.69,6.13,1.25,,closing,football-data:2324:E0
2024-05-05,Serie A,Cagliari,Lecce,1,1,2.16,3.16,3.75,2.3,,closing,football-data:2324:I1
2024-05-05,Serie A,Empoli,Frosinone,0,0,2.47,3.23,3.01,2.03,,closing,football-data:2324:I1
2024-05-05,Serie A,Milan,Genoa,3,3,1.41,4.95,7.3,1.58,,closing,football-data:2324:I1
2024-05-05,Serie A,Roma,Juventus,1,1,2.91,3.19,2.58,2.18,,closing,football-data:2324:I1
2024-05-05,Serie A,Verona,Fiorentina,2,1,3.43,3.22,2.23,2.18,,closing,football-data:2324:I1
2024-05-06,Ligue 1,Lille,Lyon,3,4,2.07,3.75,3.38,1.6,,closing,football-data:2324:F1
2024-05-06,Premier League,Crystal Palace,Man United,4,0,2.03,3.93,3.43,1.52,,closing,football-data:2324:E0
2024-05-06,Serie A,Salernitana,Atalanta,1,2,10.67,6.07,1.27,1.48,,closing,football-data:2324:I1
2024-05-06,Serie A,Udinese,Napoli,1,1,3.9,3.7,1.92,1.8,,closing,football-data:2324:I1
2024-05-10,Bundesliga,Augsburg,Stuttgart,0,1,4.0,4.38,1.77,1.36,,closing,football-data:2324:D1
2024-05-10,La Liga,Alaves,Girona,2,2,3.16,3.58,2.25,1.74,,closing,football-data:2324:SP1
2024-05-10,Ligue 1,Brest,Reims,1,1,1.62,4.17,5.26,1.66,,closing,football-data:2324:F1
2024-05-10,Ligue 1,Nice,Le Havre,1,0,1.55,4.08,6.31,1.98,,closing,football-data:2324:F1
2024-05-10,Serie A,Frosinone,Inter,0,5,4.31,3.97,1.78,1.7,,closing,football-data:2324:I1
2024-05-11,Bundesliga,FC Koln,Union Berlin,3,2,2.59,3.37,2.74,1.91,,closing,football-data:2324:D1
2024-05-11,Bundesliga,Freiburg,Heidenheim,1,1,1.76,4.0,4.46,1.66,,closing,football-data:2324:D1
2024-05-11,Bundesliga,M'gladbach,Ein Frankfurt,1,1,2.67,3.7,2.51,1.56,,closing,football-data:2324:D1
2024-05-11,Bundesliga,Mainz,Dortmund,3,0,1.91,4.08,3.67,1.42,,closing,football-data:2324:D1
2024-05-11,Bundesliga,RB Leipzig,Werder Bremen,1,1,1.37,5.55,7.14,1.33,,closing,football-data:2324:D1
2024-05-11,La Liga,Ath Bilbao,Osasuna,2,2,1.41,4.55,8.57,1.92,,closing,football-data:2324:SP1
2024-05-11,La Liga,Granada,Real Madrid,0,4,5.6,4.48,1.56,1.63,,closing,football-data:2324:SP1
2024-05-11,La Liga,Mallorca,Las Palmas,1,0,1.65,3.53,6.57,2.49,,closing,football-data:2324:SP1
2024-05-11,La Liga,Villarreal,Sevilla,3,2,2.01,3.8,3.55,1.61,,closing,football-data:2324:SP1
2024-05-11,Premier League,Bournemouth,Brentford,1,2,2.11,3.9,3.22,1.44,,closing,football-data:2324:E0
2024-05-11,Premier League,Everton,Sheffield United,1,0,1.43,5.05,7.08,1.52,,closing,football-data:2324:E0
2024-05-11,Premier League,Fulham,Man City,0,4,11.13,7.21,1.23,1.33,,closing,football-data:2324:E0
2024-05-11,Premier League,Newcastle,Brighton,1,1,1.59,4.75,4.99,1.37,,closing,football-data:2324:E0
2024-05-11,Premier League,Nott'm Forest,Chelsea,2,3,4.11,3.99,1.84,1.58,,closing,football-data:2324:E0
2024-05-11,Premier League,Tottenham,Burnley,2,1,1.32,6.25,8.08,1.22,,closing,football-data:2324:E0
2024-05-11,Premier League,West Ham,Luton,3,1,1.86,4.23,3.76,1.39,,closing,football-data:2324:E0
2024-05-11,Premier League,Wolves,Crystal Palace,1,3,3.2,3.55,2.24,1.81,,closing,football-data:2324:E0
2024-05-11,Serie A,Milan,Cagliari,5,1,1.59,4.33,5.47,1.64,,closing,football-data:2324:I1
2024-05-11,Serie A,Napoli,Bologna,0,2,1.97,3.43,4.13,1.95,,closing,football-data:2324:I1
2024-05-12,Bundesliga,Bayern Munich,Wolfsburg,2,0,1.48,4.92,5.88,1.46,,closing,football-data:2324:D1
2024-05-12,Bundesliga,Bochum,Leverkusen,0,5,4.41,4.05,1.75,1.56,,closing,football-data:2324:D1
2024-05-12,Bundesliga,Darmstadt,Hoffenheim,0,6,4.91,4.89,1.56,1.3,,closing,football-data:2324:D1
2024-05-12,La Liga,Ath Madrid,Celta,1,0,1.4,4.92,7.92,1.57,,closing,football-data:2324:SP1
2024-05-12,La Liga,Betis,Almeria,3,2,1.39,5.2,7.53,1.52,,closing,football-data:2324:SP1
2024-05-12,La Liga,Cadiz,Getafe,1,0,2.11,3.19,3.85,2.47,,closing,football-data:2324:SP1
2024-05-12,La Liga,Valencia,Vallecano,0,0,2.27,3.09,3.58,2.57,,closing,football-data:2324:SP1
2024-05-12,Ligue 1,Clermont,Lyon,0,1,4.9,4.44,1.62,1.41,,closing,football-data:2324:F1
2024-05-12,Ligue 1,Marseille,Lorient,3,1,1.47,4.69,6.53,1.58,,closing,football-data:2324:F1
2024-05-12,Ligue 1,Montpellier,Monaco,0,2,4.15,4.53,1.7,1.29,,closing,football-data:2324:F1
2024-05-12,Ligue 1,Nantes,Lille,1,2,4.78,3.71,1.77,2.0,,closing,football-data:2324:F1
2024-05-12,Ligue 1,Paris SG,Toulouse,1,3,1.35,5.75,7.54,1.34,,closing,football-data:2324:F1
2024-05-12,Ligue 1,Rennes,Lens,1,1,2.27,3.58,3.06,1.68,,closing,football-data:2324:F1
2024-05-12,Ligue 1,Strasbourg,Metz,2,1,2.12,3.56,3.41,1.87,,closing,football-data:2324:F1
2024-05-12,Premier League,Man United,Arsenal,0,1,9.06,6.14,1.3,1.37,,closing,football-data:2324:E0
2024-05-12,Serie A,Atalanta,Roma,2,1,1.89,3.73,4.03,1.68,,closing,football-data:2324:I1
2024-05-12,Serie A,Genoa,Sassuolo,2,1,2.3,3.4,3.15,1.97,,closing,football-data:2324:I1
2024-05-12,Serie A,Juventus,Salernitana,1,1,1.15,8.59,16.68,1.37,,closing,football-data:2324:I1
2024-05-12,Serie A,Lazio,Empoli,2,0,1.65,3.84,5.52,1.97,,closing,football-data:2324:I1
2024-05-12,Serie A,Verona,Torino,1,2,3.17,2.89,2.61,2.64,,closing,football-data:2324:I1
2024-05-13,La Liga,Barcelona,Sociedad,2,0,1.71,3.88,4.88,1.77,,closing,football-data:2324:SP1
2024-05-13,Premier League,Aston Villa,Liverpool,3,3,3.83,4.53,1.79,1.36,,closing,football-data:2324:E0
2024-05-13,Serie A,Fiorentina,Monza,2,1,1.5,4.47,6.32,1.64,,closing,football-data:2324:I1
2024-05-13,Serie A,Lecce,Udinese,0,2,3.06,3.0,2.58,2.38,,closing,football-data:2324:I1
2024-05-14,La Liga,Girona,Villarreal,0,1,1.66,4.59,4.52,1.34,,closing,football-data:2324:SP1
2024-05-14,La Liga,Osasuna,Mallorca,1,1,2.75,2.87,3.02,2.99,,closing,football-data:2324:SP1
2024-05-14,La Liga,Real Madrid,Alaves,5,0,1.21,7.08,13.26,1.46,,closing,football-data:2324:SP1
2024-05-14,Premier League,Tottenham,Man City,0,2,6.73,6.02,1.38,1.29,,closing,football-data:2324:E0
2024-05-15,La Liga,Celta,Ath Bilbao,2,1,2.3,3.29,3.29,2.12,,closing,football-data:2324:SP1
2024-05-15,La Liga,Getafe,Ath Madrid,0,3,5.03,3.73,1.74,2.01,,closing,football-data:2324:SP1
2024-05-15,La Liga,Sevilla,Cadiz,0,1,2.14,3.42,3.52,2.08,,closing,football-data:2324:SP1
2024-05-15,La Liga,Vallecano,Granada,2,1,1.53,4.15,6.83,1.99,,closing,football-data:2324:SP1
2024-05-15,Ligue 1,Nice,Paris SG,1,2,2.1,3.73,3.32,1.63,,closing,football-data:2324:F1
2024-05-15,Ligue 1,Reims,Marseille,1,0,3.99,3.88,1.86,1.63,,closing,football-data:2324:F1
2024-05-15,Premier League,Brighton,Chelsea,1,2,3.25,4.08,2.06,1.36,,closing,football-data:2324:E0
2024-05-15,Premier League,Man United,Newcastle,3,2,2.7,3.95,2.4,1.37,,closing,football-data:2324:E0
2024-05-16,La Liga,Almeria,Barcelona,0,2,7.12,5.39,1.39,1.35,,closing,football-data:2324:SP1
2024-05-16,La Liga,Las Palmas,Betis,2,2,3.14,3.28,2.36,2.12,,closing,football-data:2324:SP1
2024-05-16,La Liga,Sociedad,Valencia,1,0,1.48,4.19,7.81,2.2,,closing,football-data:2324:SP1
2024-05-17,Serie A,Fiorentina,Napoli,2,2,2.12,3.52,3.48,1.75,,closing,football-data:2324:I1
2024-05-18,Bundesliga,Dortmund,Darmstadt,4,0,1.12,10.37,18.36,1.18,,closing,football-data:2324:D1
2024-05-18,Bundesliga,Ein Frankfurt,RB Leipzig,2,2,2.34,3.75,2.87,1.43,,closing,football-data:2324:D1
2024-05-18,Bundesliga,Heidenheim,FC Koln,4,1,2.11,3.98,3.16,1.47,,closing,football-data:2324:D1
2024-05-18,Bundesliga,Hoffenheim,Bayern Munich,4,2,3.42,4.4,1.91,1.3,,closing,football-data:2324:D1
2024-05-18,Bundesliga,Leverkusen,Augsburg,2,1,1.19,7.88,12.94,1.21,,closing,football-data:2324:D1
2024-05-18,Bundesliga,Stuttgart,M'gladbach,4,0,1.22,7.49,11.09,1.21,,closing,football-data:2324:D1
2024-05-18,Bundesliga,Union Berlin,Freiburg,2,1,1.91,3.75,3.95,1.74,,closing,football-data:2324:D1
2024-05-18,Bundesliga,Werder Bremen,Bochum,4,1,2.13,3.84,3.19,1.48,,closing,football-data:2324:D1
2024-05-18,Bundesliga,Wolfsburg,Mainz,1,3,3.2,3.54,2.24,1.72,,closing,football-data:2324:D1
2024-05-18,La Liga,Alaves,Getafe,1,0,1.95,3.36,4.22,2.23,,closing,football-data:2324:SP1
2024-05-18,Serie A,Lecce,Atalanta,0,2,3.72,3.58,2.01,1.88,,closing,football-data:2324:I1
2024-05-18,Serie A,Torino,Milan,3,1,2.58,3.11,2.99,2.21,,closing,football-data:2324:I1
2024-05-19,La Liga,Ath Bilbao,Sevilla,2,0,1.57,4.24,5.89,1.73,,closing,football-data:2324:SP1
2024-05-19,La Liga,Ath Madrid,Osasuna,1,4,1.31,5.47,10.07,1.69,,closing,football-data:2324:SP1
2024-05-19,La Liga,Barcelona,Vallecano,3,0,1.32,5.7,8.99,1.48,,closing,football-data:2324:SP1
2024-05-19,La Liga,Betis,Sociedad,0,2,3.36,3.0,2.43,2.6,,closing,football-data:2324:SP1
2024-05-19,La Liga,Cadiz,Las Palmas,0,0,1.91,3.4,4.45,2.33,,closing,football-data:2324:SP1
2024-05-19,La Liga,Granada,Celta,1,2,3.83,3.41,2.05,1.91,,closing,football-data:2324:SP1
2024-05-19,La Liga,Mallorca,Almeria,2,2,1.39,4.54,9.36,2.09,,closing,football-data:2324:SP1
2024-05-19,La Liga,Valencia,Girona,1,3,3.77,3.73,1.96,1.72,,closing,football-data:2324:SP1
2024-05-19,La Liga,Villarreal,Real Madrid,4,4,3.02,3.92,2.19,1.41,,closing,football-data:2324:SP1
2024-05-19,Ligue 1,Le Havre,Marseille,1,2,4.56,3.91,1.74,1.72,,closing,football-data:2324:F1
2024-05-19,Ligue 1,Lens,Montpellier,2,2,1.32,5.83,8.52,1.35,,closing,football-data:2324:F1
2024-05-19,Ligue 1,Lille,Nice,2,2,1.49,4.46,6.52,1.67,,closing,football-data:2324:F1
2024-05-19,Ligue 1,Lorient,Clermont,5,0,1.63,4.39,4.82,1.45,,closing,football-data:2324:F1
2024-05-19,Ligue 1,Lyon,Strasbourg,2,1,1.32,5.73,8.81,1.4,,closing,football-data:2324:F1
2024-05-19,Ligue 1,Metz,Paris SG,0,2,4.35,3.91,1.77,1.51,,closing,football-data:2324:F1
2024-05-19,Ligue 1,Monaco,Nantes,4,0,1.53,4.89,5.39,1.37,,closing,football-data:2324:F1
2024-05-19,Ligue 1,Reims,Rennes,2,1,2.94,3.63,2.3,1.51,,closing,football-data:2324:F1
2024-05-19,Ligue 1,Toulouse,Brest,0,3,2.94,3.67,2.29,1.62,,closing,football-data:2324:F1
2024-05-19,Premier League,Arsenal,Everton,2,1,1.22,7.25,12.71,1.38,,closing,football-data:2324:E0
2024-05-19,Premier League,Brentford,Newcastle,2,4,2.94,4.01,2.2,1.34,,closing,football-data:2324:E0
2024-05-19,Premier League,Brighton,Man United,0,2,2.62,4.02,2.44,1.31,,closing,football-data:2324:E0
2024-05-19,Premier League,Burnley,Nott'm Forest,1,2,2.9,3.79,2.32,1.54,,closing,football-data:2324:E0
2024-05-19,Premier League,Chelsea,Bournemouth,2,1,1.4,5.56,6.88,1.3,,closing,football-data:2324:E0
2024-05-19,Premier League,Crystal Palace,Aston Villa,5,0,1.66,4.49,4.68,1.45,,closing,football-data:2324:E0
2024-05-19,Premier League,Liverpool,Wolves,2,0,1.13,10.0,17.17,1.15,,closing,football-data:2324:E0
2024-05-19,Premier League,Luton,Fulham,2,4,3.05,3.93,2.18,1.48,,closing,football-data:2324:E0
2024-05-19,Premier League,Man City,West Ham,3,1,1.07,14.3,28.36,1.18,,closing,football-data:2324:E0
2024-05-19,Premier League,Sheffield United,Tottenham,0,3,7.72,5.98,1.35,1.27,,closing,football-data:2324:E0
2024-05-19,Serie A,Inter,Lazio,1,1,1.55,4.44,5.73,1.66,,closing,football-data:2324:I1
2024-05-19,Serie A,Monza,Frosinone,0,1,3.06,3.53,2.31,1.68,,closing,football-data:2324:I1
2024-05-19,Serie A,Roma,Genoa,1,0,1.46,4.54,7.05,1.74,,closing,football-data:2324:I1
2024-05-19,Serie A,Sassuolo,Cagliari,0,2,2.46,3.33,2.93,1.95,,closing,football-data:2324:I1
2024-05-19,Serie A,Udinese,Empoli,1,1,1.95,3.23,4.33,2.43,,closing,football-data:2324:I1
2024-05-20,Serie A,Bologna,Juventus,3,3,2.76,3.09,2.78,2.3,,closing,football-data:2324:I1
2024-05-20,Serie A,Salernitana,Verona,1,2,5.09,3.94,1.68,1.78,,closing,football-data:2324:I1
2024-05-23,Serie A,Cagliari,Fiorentina,2,3,4.66,3.89,1.75,1.72,,closing,football-data:2324:I1
2024-05-24,La Liga,Girona,Granada,7,0,1.22,7.18,11.79,1.29,,closing,football-data:2324:SP1
2024-05-24,Serie A,Genoa,Bologna,2,0,2.91,3.26,2.54,1.94,,closing,football-data:2324:I1
2024-05-25,La Liga,Almeria,Cadiz,6,1,2.12,3.76,3.3,1.68,,closing,football-data:2324:SP1
2024-05-25,La Liga,Osasuna,Villarreal,1,1,2.54,3.69,2.6,1.51,,closing,football-data:2324:SP1
2024-05-25,La Liga,Real Madrid,Betis,0,0,1.22,7.18,11.6,1.32,,closing,football-data:2324:SP1
2024-05-25,La Liga,Sociedad,Ath Madrid,0,2,2.65,3.3,2.73,1.89,,closing,football-data:2324:SP1
2024-05-25,La Liga,Vallecano,Ath Bilbao,0,1,3.19,3.25,2.37,2.16,,closing,football-data:2324:SP1
2024-05-25,Serie A,Juventus,Monza,2,0,1.54,4.48,5.73,1.57,,closing,football-data:2324:I1
2024-05-25,Serie A,Milan,Salernitana,3,3,1.12,10.4,19.79,1.22,,closing,football-data:2324:I1
2024-05-26,La Liga,Celta,Valencia,2,2,1.94,3.66,3.87,1.79,,closing,football-data:2324:SP1
2024-05-26,La Liga,Getafe,Mallorca,1,2,2.33,3.19,3.31,2.43,,closing,football-data:2324:SP1
2024-05-26,La Liga,Las Palmas,Alaves,1,1,2.35,3.46,3.05,1.88,,closing,football-data:2324:SP1
2024-05-26,La Liga,Sevilla,Barcelona,1,2,4.43,4.26,1.71,1.47,,closing,football-data:2324:SP1
2024-05-26,Serie A,Atalanta,Torino,3,0,2.46,3.54,2.79,1.69,,closing,football-data:2324:I1
2024-05-26,Serie A,Empoli,Roma,2,1,2.24,3.56,3.14,1.81,,closing,football-data:2324:I1
2024-05-26,Serie A,Frosinone,Udinese,0,1,2.53,3.11,3.04,2.08,,closing,football-data:2324:I1
2024-05-26,Serie A,Lazio,Sassuolo,1,1,1.32,5.51,9.29,1.57,,closing,football-data:2324:I1
2024-05-26,Serie A,Napoli,Lecce,0,0,1.36,5.31,7.97,1.5,,closing,football-data:2324:I1
2024-05-26,Serie A,Verona,Inter,2,2,6.94,5.03,1.42,1.47,,closing,football-data:2324:I1
2024-06-02,Serie A,Atalanta,Fiorentina,2,3,1.58,4.43,5.16,1.52,,closing,football-data:2324:I1
2024-08-15,La Liga,Ath Bilbao,Getafe,1,1,1.59,3.63,6.96,2.51,,closing,football-data:2425:SP1
2024-08-15,La Liga,Betis,Girona,1,1,2.35,3.37,3.1,1.94,,closing,football-data:2425:SP1
2024-08-16,La Liga,Celta,Alaves,2,1,2.1,3.24,3.86,2.31,,closing,football-data:2425:SP1
2024-08-16,La Liga,Las Palmas,Sevilla,2,2,2.66,3.19,2.83,2.14,,closing,football-data:2425:SP1
2024-08-16,Ligue 1,Le Havre,Paris SG,1,4,7.3,4.73,1.43,1.69,,closing,football-data:2425:F1
2024-08-16,Premier League,Man United,Fulham,1,0,1.66,4.2,5.02,1.61,,closing,football-data:2425:E0
2024-08-17,La Liga,Osasuna,Leganes,1,1,1.87,3.26,4.92,2.69,,closing,football-data:2425:SP1
2024-08-17,La Liga,Valencia,Barcelona,1,2,4.3,3.74,1.84,1.84,,closing,football-data:2425:SP1
2024-08-17,Ligue 1,Brest,Marseille,1,5,3.16,3.32,2.34,2.0,,closing,football-data:2425:F1
2024-08-17,Ligue 1,Monaco,St Etienne,1,0,1.35,5.43,7.95,1.44,,closing,football-data:2425:F1
2024-08-17,Ligue 1,Reims,Lille,0,2,2.87,3.28,2.55,2.07,,closing,football-data:2425:F1
2024-08-17,Premier League,Arsenal,Wolves,2,0,1.15,8.62,18.11,1.42,,closing,football-data:2425:E0
2024-08-17,Premier League,Everton,Brighton,0,3,3.06,3.4,2.38,1.89,,closing,football-data:2425:E0
2024-08-17,Premier League,Ipswich,Liverpool,0,2,7.87,5.81,1.35,1.37,,closing,football-data:2425:E0
2024-08-17,Premier League,Newcastle,Southampton,1,0,1.39,5.27,7.33,1.43,,closing,football-data:2425:E0
2024-08-17,Premier League,Nott'm Forest,Bournemouth,1,1,2.25,3.44,3.23,1.87,,closing,football-data:2425:E0
2024-08-17,Premier League,West Ham,Aston Villa,1,2,2.47,3.51,2.83,1.68,,closing,football-data:2425:E0
2024-08-17,Serie A,Empoli,Monza,0,0,2.46,3.15,3.12,2.22,,closing,football-data:2425:I1
2024-08-17,Serie A,Genoa,Inter,2,2,7.03,4.27,1.49,1.87,,closing,football-data:2425:I1
2024-08-17,Serie A,Milan,Torino,2,2,1.51,4.37,6.58,1.78,,closing,football-data:2425:I1
2024-08-17,Serie A,Parma,Fiorentina,1,1,3.52,3.36,2.15,1.88,,closing,football-data:2425:I1
2024-08-18,La Liga,Mallorca,Real Madrid,1,1,8.64,4.85,1.38,1.76,,closing,football-data:2425:SP1
2024-08-18,La Liga,Sociedad,Vallecano,1,2,1.77,3.38,5.37,2.58,,closing,football-data:2425:SP1
2024-08-18,Ligue 1,Angers,Lens,0,1,6.48,3.93,1.57,2.03,,closing,football-data:2425:F1
2024-08-18,Ligue 1,Auxerre,Nice,2,1,2.97,3.3,2.46,2.01,,closing,football-data:2425:F1
2024-08-18,Ligue 1,Montpellier,Strasbourg,1,1,2.08,3.53,3.54,1.78,,closing,football-data:2425:F1
2024-08-18,Ligue 1,Rennes,Lyon,3,0,2.33,3.42,3.08,1.89,,closing,football-data:2425:F1
2024-08-18,Ligue 1,Toulouse,Nantes,0,0,2.08,3.33,3.75,2.15,,closing,football-data:2425:F1
2024-08-18,Premier League,Brentford,Crystal Palace,2,1,2.85,3.28,2.62,2.0,,closing,football-data:2425:E0
2024-08-18,Premier League,Chelsea,Man City,0,2,3.64,3.83,1.98,1.56,,closing,football-data:2425:E0
2024-08-18,Serie A,Bologna,Udinese,1,1,2.06,3.22,3.96,2.31,,closing,football-data:2425:I1
2024-08-18,Serie A,Cagliari,Roma,0,0,3.7,3.45,2.07,1.88,,closing,football-data:2425:I1
2024-08-18,Serie A,Lazio,Venezia,3,1,1.4,4.65,8.56,1.88,,closing,football-data:2425:I1
2024-08-18,Serie A,Verona,Napoli,3,0,5.17,3.7,1.72,1.91,,closing,football-data:2425:I1
2024-08-19,La Liga,Valladolid,Espanol,1,0,2.3,2.9,3.71,2.77,,closing,football-data:2425:SP1
2024-08-19,La Liga,Villarreal,Ath Madrid,2,2,3.48,3.57,2.08,1.78,,closing,football-data:2425:SP1
2024-08-19,Premier League,Leicester,Tottenham,1,1,4.57,4.23,1.71,1.54,,closing,football-data:2425:E0
2024-08-19,Serie A,Juventus,Como,3,0,1.54,4.15,6.46,1.96,,closing,football-data:2425:I1
2024-08-19,Serie A,Lecce,Atalanta,0,4,3.58,3.35,2.14,2.02,,closing,football-data:2425:I1
2024-08-23,Bundesliga,M'gladbach,Leverkusen,2,3,5.09,4.46,1.6,1.45,,closing,football-data:2425:D1
2024-08-23,La Liga,Celta,Valencia,3,1,2.17,3.35,3.53,2.08,,closing,football-data:2425:SP1
2024-08-23,La Liga,Sevilla,Villarreal,1,2,2.19,3.61,3.22,1.74,,closing,football-data:2425:SP1
2024-08-23,Ligue 1,Paris SG,Montpellier,6,0,1.21,6.96,11.63,1.33,,closing,football-data:2425:F1
2024-08-24,Bundesliga,Augsburg,Werder Bremen,2,2,2.46,3.54,2.82,1.69,,closing,football-data:2425:D1
2024-08-24,Bundesliga,Dortmund,Ein Frankfurt,2,0,1.76,4.1,4.36,1.49,,closing,football-data:2425:D1
2024-08-24,Bundesliga,Freiburg,Stuttgart,3,1,3.62,3.81,1.98,1.55,,closing,football-data:2425:D1
2024-08-24,Bundesliga,Hoffenheim,Holstein Kiel,3,2,1.62,4.54,4.87,1.45,,closing,football-data:2425:D1
2024-08-24,Bundesliga,Mainz,Union Berlin,1,1,2.08,3.34,3.8,2.07,,closing,football-data:2425:D1
2024-08-24,Bundesliga,RB Leipzig,Bochum,1,0,1.22,7.05,11.94,1.33,,closing,football-data:2425:D1
2024-08-24,La Liga,Barcelona,Ath Bilbao,2,1,1.59,4.28,5.45,1.64,,closing,football-data:2425:SP1
2024-08-24,La Liga,Espanol,Sociedad,0,1,3.86,3.11,2.16,2.66,,closing,football-data:2425:SP1
2024-08-24,La Liga,Getafe,Vallecano,0,0,2.66,2.8,3.22,3.19,,closing,football-data:2425:SP1
2024-08-24,La Liga,Osasuna,Mallorca,1,0,2.37,3.11,3.33,2.53,,closing,football-data:2425:SP1
2024-08-24,Ligue 1,Lille,Angers,2,0,1.35,4.92,9.81,1.95,,closing,football-data:2425:F1
2024-08-24,Ligue 1,Lyon,Monaco,0,2,2.71,3.72,2.46,1.51,,closing,football-data:2425:F1
2024-08-24,Ligue 1,St Etienne,Le Havre,0,2,2.02,3.36,3.95,2.23,,closing,football-data:2425:F1
