date,league,home,away,home_score,away_score,odds_home,odds_draw,odds_away,odds_over25,odds_btts,odds_timing,source
2023-08-19,Serie A,Inter,Monza,2,0,1.4,4.99,7.62,1.59,,closing,football-data:2324:I1
2023-08-20,Bundesliga,Ein Frankfurt,Darmstadt,1,0,1.48,4.69,6.5,1.62,,closing,football-data:2324:D1
2023-08-20,Bundesliga,Union Berlin,Mainz,4,1,2.15,3.32,3.61,2.19,,closing,football-data:2324:D1
2023-08-20,La Liga,Barcelona,Cadiz,2,0,1.25,6.03,12.26,1.65,,closing,football-data:2324:SP1
2023-08-20,La Liga,Betis,Ath Madrid,0,0,3.76,3.48,2.05,2.0,,closing,football-data:2324:SP1
2023-08-20,La Liga,Girona,Getafe,3,0,1.95,3.18,4.63,2.66,,closing,football-data:2324:SP1
2023-08-20,Ligue 1,Le Havre,Brest,1,2,2.88,3.02,2.73,2.53,,closing,football-data:2324:F1
2023-08-20,Ligue 1,Lens,Rennes,1,1,2.37,3.46,2.97,1.88,,closing,football-data:2324:F1
2023-08-20,Ligue 1,Lille,Nantes,2,0,1.43,4.81,7.25,1.65,,closing,football-data:2324:F1
2023-08-20,Ligue 1,Lorient,Nice,1,1,3.3,3.29,2.28,2.11,,closing,football-data:2324:F1
2023-08-20,Ligue 1,Monaco,Strasbourg,3,0,1.78,4.08,4.17,1.58,,closing,football-data:2324:F1
2023-08-20,Ligue 1,Reims,Clermont,2,0,1.88,3.67,4.16,1.87,,closing,football-data:2324:F1
2023-08-20,Premier League,Aston Villa,Everton,4,0,1.84,3.82,4.24,1.76,,closing,football-data:2324:E0
2023-08-20,Premier League,West Ham,Chelsea,3,1,3.27,3.59,2.18,1.77,,closing,football-data:2324:E0
2023-08-20,Serie A,Lecce,Lazio,2,1,3.73,3.25,2.13,2.26,,closing,football-data:2324:I1
2023-08-20,Serie A,Roma,Salernitana,2,2,1.52,3.95,7.34,2.2,,closing,football-data:2324:I1
2023-08-20,Serie A,Sassuolo,Atalanta,0,2,3.35,3.62,2.13,1.67,,closing,football-data:2324:I1
2023-08-20,Serie A,Udinese,Juventus,0,3,3.9,3.34,2.05,2.16,,closing,football-data:2324:I1
2023-08-21,La Liga,Alaves,Sevilla,4,3,3.4,3.06,2.37,2.58,,closing,football-data:2324:SP1
2023-08-21,La Liga,Granada,Vallecano,0,2,2.82,3.09,2.75,2.38,,closing,football-data:2324:SP1
